"PUBID","P5-101","CV_HH_POV_RATIO","YAST25-3310_COMB","YAST25-3320_COMB","CVC_TTL_RESIDENCES"
143,1,641,4,-4,7
144,1,371,5,1,4
145,1,371,5,1,7
146,2,295,5,1,4
147,1,277,5,97,6
148,2,-3,4,-4,5
149,2,-3,4,-4,7
150,2,-3,4,-4,10
151,2,-3,5,1,11
152,-4,-4,5,97,-4
153,2,-3,4,-4,13
154,1,868,-4,-4,1
155,1,-3,4,-4,8
156,1,-3,5,97,6
157,2,438,4,-4,3
158,1,251,5,1,4
159,2,0,5,1,10
160,2,32,5,1,14
161,2,32,5,97,6
162,2,217,4,-4,11
163,2,217,-4,-4,10
164,2,255,5,1,7
165,-4,-4,5,1,-4
166,-4,-4,5,1,-4
167,1,529,4,-4,-3
168,1,-3,5,1,2
169,2,160,4,-4,37
170,2,160,4,-4,10
171,1,339,4,-4,10
172,1,948,-4,-4,3
173,1,544,-4,-4,2
174,1,544,-4,-4,1
175,1,-3,5,1,2
176,1,-3,5,1,5
177,1,319,5,1,6
178,1,-3,4,-4,6
179,1,-3,-4,-4,3
180,1,-3,1,-4,10
181,1,702,2,-4,8
182,1,702,2,-4,3
183,1,844,5,1,2
184,1,377,-4,-4,1
185,2,562,4,-4,17
186,-4,-4,-4,-4,-4
187,1,360,4,-4,12
188,1,240,4,-4,4
189,-4,-4,-4,-4,-4
190,1,-3,5,1,1
191,1,637,4,-4,18
192,2,24,4,-4,10
193,2,224,4,-4,5
194,2,270,4,-4,13
195,2,371,4,-4,9
196,1,-3,-4,-4,1
197,1,-3,-4,-4,5
198,-4,-4,4,-4,-4
199,1,705,4,-4,27
200,1,-3,4,-4,9
201,1,636,2,-4,6
202,-4,-4,4,-4,-4
203,-4,-4,4,-4,-4
204,1,324,5,10,8
205,1,324,4,-4,-3
206,2,70,5,1,2
207,1,322,-4,-4,2
208,1,322,-4,-4,2
209,1,192,-4,-4,-3
210,1,192,-4,-4,3
211,1,-3,5,1,3
212,2,113,1,-4,6
213,2,113,1,-4,6
214,1,200,1,-4,2
215,2,-3,4,-4,10
216,1,375,4,-4,6
217,-4,-4,4,-4,-4
218,-4,-4,-4,-4,-4
219,1,1627,4,-4,8
220,1,231,-4,-4,2
221,1,677,4,-4,15
222,-1,220,5,1,4
223,-1,220,5,1,3
224,1,451,4,-4,4
225,1,-3,1,-4,4
226,2,16,4,-4,12
227,2,-3,4,-4,-3
228,3,-3,5,1,5
229,1,1,1,-4,3
230,1,-3,5,1,9
231,-4,-4,4,-4,-4
232,1,1,5,1,15
233,2,0,4,-4,10
234,-4,-4,4,-4,-4
235,2,28,1,-4,5
236,2,0,4,-4,6
237,3,-3,5,1,4
